chunk_id,text,source_type,topic,document_index,chunk_index,total_chunks,word_count,original_doc_id,title,year,authors
trial_NCT05567692_0,"Subjects With T2D or at Risk of T2D Cohort Follow-up The main objective of this study is to prospectively follow the subjects included in 'Descendance' cohort and to describe the occurrence of type 2 diabetes in non-diabetic subjects, which will allow us to iteratively update the 'Descendance' Type 2 Diabetes risk prediction model.",clinicaltrials.gov,"Diabetes Mellitus, Type 2",10,0,1,53,trial_NCT05567692,Subjects With T2D or at Risk of T2D Cohort Follow-up,,
trial_NCT01330563_0,"Drug-drug Interaction Study (CKD-501, Ketoconazole) The purpose of this study is to assess the effect of Ketoconazole on the pharmacokinetic characteristics of CKD-501 in healthy subject.",clinicaltrials.gov,Type 2 Diabetes Mellitus,11,0,1,26,trial_NCT01330563,"Drug-drug Interaction Study (CKD-501, Ketoconazole)",,
trial_NCT02905487_0,Relationship Between Gestational Diabetes Mellitus and Inflammatory Adipocytokins in Obese Mothers and Their Newborn at Delivery ADIPOGEST study aims at comparing circulating levels of inflammatory adipocytokins and C-reactive protein in obese women and their newborn at delivery whether exposed or not to Gestational Diabetes Mellitus (GDM),clinicaltrials.gov,"Diabetes, Gestational",12,0,1,46,trial_NCT02905487,Relationship Between Gestational Diabetes Mellitus and Inflammatory Adipocytokins in Obese Mothers and Their Newborn at Delivery,,
trial_NCT01333514_0,"Carbohydrate Consumption as a Factor in Aspart Dosing Good sugar control in postoperative hospitalized patient has been shown to improve wound healing and infection rates. However, sugar control is difficult to achieve and suboptimal use of insulin is thought to be a contributory factor. Though it is known that generally the consumption of carbohydrates alone raises the blood sugar, the usual practice of dosing meal-time insulin is based on the fraction of the total meal-tray eaten which includes proteins, fats and carbohydrates. This leads to an overestimation of insulin required for a patient who consumes a portion of mainly proteins and fats on their trays or an underestimation for those eating mainly the carbohydrates on their tray. Low sugars or high blood sugars can follow respectively. Hypothesis: The purpose of this study is to see if dosing meal-time insulin based on grams of carbohydrates consumed will result in better sugar control compared to the usual practice of dosing meal-time insulin based on percent of total meal consumed in hospitalized patients.",clinicaltrials.gov,Diabetes,13,0,1,170,trial_NCT01333514,Carbohydrate Consumption as a Factor in Aspart Dosing,,
trial_NCT05894252_0,"Walking Interventions to Improve Quality of Life Among Adults with T2D in SA and the UK The research will be conducted as a quantitative experimental study (as an intervention). For the primary DV, quality of life, there are two effective measures.   Health-related Quality of Life (HRQoL) scales of the SF-36 short form   Euro-QoL instruments (EQ-5D). Additionally, secondary variables assessed will be:   (Physical Activity (the International PA questionnaire, short form - IPAQ)   General Anxiety (the Generalised Anxiety Disorder Assessment - GAD-7   Symptoms of Depression (the Patient Health Questionnaire - PHQ-9)   Habitual diet will be assessed with the EPIC food frequency questionnaire,   Memory function through the Gorilla online questionnaire (Memory Intrusion - TB1 and TB2).   Health locus of control (Multidimensional Health Locus of Control form C) Participants in the intervention group will be required to complete a 30-minute walk five days a week for 12 weeks. This will be in addition to any regular walking or exercise they are currently doing, which will be assessed via questionnaire at baseline. In the control group, participants will be asked to continue with their daily routines and usual level of physical activity. The baseline measurements will be taken before the intervention at week zero. Subsequently, all the participants will attend a virtual meeting (screening visit) to learn about the key aspects of the research, including the required actions of the control and intervention groups, how to use the act watch and report the required data. All participants in the intervention group and the control group will be required to wear acti-watches, which will be given to them for free. Participants in both groups will be asked to report the number of steps covered each week. Participants will report this information through an online link provided by the researcher. Each participant will access their data through an app that comes with the watch, however, the researchers will not have access to the app",clinicaltrials.gov,Type 2 Diabetes,14,0,1,317,trial_NCT05894252,Walking Interventions to Improve Quality of Life Among Adults with T2D in SA and the UK,,
trial_NCT04963777_0,"Prebiotics in Patients With Type 1 Diabetes Evidence suggests that prebiotic fibre can correct dysbiosis, reduce intestinal permeability and improve glycemic control. The investigators hypothesize that microbial changes induced by prebiotics contribute to gut and endocrine adaptations that reduce glucose fluctuations, including less hyper- and hypoglycemia in type 1 diabetes (T1D). The primary objective is to compare the change in frequency of hypoglycemia from baseline to 6 months in n 144 individuals with T1D treated with a 6-month course of prebiotic or placebo as an adjunct to insulin. Secondary objectives will be aimed at understanding the mechanisms by which the prebiotics could affect glycemic control.",clinicaltrials.gov,Type 1 Diabetes,15,0,1,105,trial_NCT04963777,Prebiotics in Patients With Type 1 Diabetes,,
trial_NCT01743781_0,Uptake of Comprehensive Eye Examination Trial 1. To evaluate a educational intervention promoting acceptance of comprehensive eye examination in rural Guangdong. 2. To evaluate the impact of acceptance of comprehensive eye examination in rural Guangdong.,clinicaltrials.gov,Glaucoma,16,0,1,35,trial_NCT01743781,Uptake of Comprehensive Eye Examination Trial,,
trial_NCT00400777_0,"Efficacy and Safety of Valsartan, Hydrochlorothiazide and Amlodipine Combination Therapy in Hypertension This study is designed to evaluate the efficacy and safety of the combination valsartan with hydrochlorothiazide and amlodipine in hypertensive patients previously treated with valsartan with hydrochlorothiazide and remaining uncontrolled. A naturalistic approach will be taken comparing two different possible ways to achieve the higher dosage of the triple combination, i.e. 160 mg of valsartan and 25 mg of hydrochlorothiazide with amlodipine 10 mg.",clinicaltrials.gov,Hypertension,17,0,1,76,trial_NCT00400777,"Efficacy and Safety of Valsartan, Hydrochlorothiazide and Amlodipine Combination Therapy in Hypertension",,
trial_NCT02110381_0,"Assessing Alternative Approaches for Blood Pressure Control: A3BC Trial An estimated 76 million adults in the United States over the age of 20 have hypertension (HTN); which translates into 1 out of 3 adults. Globally the prevalence of HTN is over 25  for adults, and accounts for approximately 13.5  of all deaths. Given the aging of the population together with increases in obesity and sedentary behavior, it is not surprising that HTN is projected to increase significantly over the next several decades; with over 1.5 billion adults having HTN by the year 2025. Thus the public health implications to preventing and or reducing elevations in blood pressure are substantial. This study compares the efficacy of two different non-pharmacologic interventions (device guided breathing and isometric hand grip exercises) used alone and in combination for lowering blood pressure. This pilot study will include 30 adults with stage 1 hypertension. The primary outcome is the change in blood pressure from baseline to 8 weeks. Secondary outcomes include change in blood pressure from 8 weeks to 16 weeks and acceptability of the interventions by participants. The knowledge gained from this study can provide information on non-pharmacologic methods that may be useful in decreasing blood pressure. Such knowledge may be especially useful for patients for whom access to medications and health care is limited and among patients unwilling to take or intolerant to pharmacologic therapies.",clinicaltrials.gov,Hypertension,18,0,1,230,trial_NCT02110381,Assessing Alternative Approaches for Blood Pressure Control: A3BC Trial,,
trial_NCT02047630_0,"Efficacy of the Brand-name Latanoprost and One of Its Generic Version in Primary Open Angle Glaucoma and Ocular Hypertension The purpose of this study is to evaluate and compare efficacy and tolerability of the brand-name latanoprost and one of its generic version in subjects with primary open angle glaucoma or ocular hypertension. This randomized, double-blinded, cross-over design study has a 4 months follow-up. There are two periods of 8 weeks. During the first period, subjects put brand-name latanoprost in one eye and the generic version in the other one. In the second period, drops are switched from one eye to the other. There are intraocular pressure measurements (diurnal curves) on day 0 (before treatment), at 8 weeks (at the end of first period) and at 16 weeks (at the end of second period). Variations of intraocular pressure in each eye will be evaluated.",clinicaltrials.gov,Primary Open Angle Glaucoma,19,0,1,143,trial_NCT02047630,Efficacy of the Brand-name Latanoprost and One of Its Generic Version in Primary Open Angle Glaucoma and Ocular Hypertension,,
trial_NCT06854198_0,"Glaucoma Screening to Enhance At-Risk Californians' Health The vast majority of glaucoma cases in the United States go undetected and untreated until the late stages of the disease. Open-angle glaucoma is a progressive condition that is asymptomatic in its early to moderate stages and may be amenable to screening through telemedicine-based approaches. This study is a randomized trial to evaluate whether glaucoma screening with established tests (e.g., optical coherence tomography, fundus photography, and tonometry) is more effective for detecting undiagnosed glaucoma cases compared to education alone or delayed intervention.",clinicaltrials.gov,Glaucoma,20,0,1,89,trial_NCT06854198,Glaucoma Screening to Enhance At-Risk Californians' Health,,
trial_NCT00607633_0,"Candesartan and Candesartan  Hydrochlorothiazide in the Treatment of Patients With Hypertension and LVH The CandLE study with at maximum daily dose of 32 mg candesartan or 16 12.5 mg candesartan hydrochlorothiazide has the objective to evaluate under naturalistic conditions, i.e. under routine medical care conditions, the impact of the antihypertensive therapy with candesartan or candesartan HCT on relevant medical parameters related to the left ventricular hypertrophy (LVH) as well as the efficacy and tolerability of candesartan or candesartan HCT in subjects suffering from essential hypertension.",clinicaltrials.gov,Essential Hypertension,21,0,1,85,trial_NCT00607633,Candesartan and Candesartan/ Hydrochlorothiazide in the Treatment of Patients With Hypertension and LVH,,
trial_NCT02908633_0,"Safety and Efficacy of Three Variants of Canaloplasty With Phacoemulsification to Treat Glaucoma and Cataract It is a comparative study of Safety and Efficacy of Three Variants of Canaloplasty: ab-externo, ab-interno and minicanaloplasty. Combined With Phacoemulsification to Treat Glaucoma and Cataract. It is a Randomised, Prospective Study.",clinicaltrials.gov,"Primary Open Angle Glaucoma, Cataract",22,0,1,47,trial_NCT02908633,Safety and Efficacy of Three Variants of Canaloplasty With Phacoemulsification to Treat Glaucoma and Cataract,,
trial_NCT03471533_0,"Efficacy of a Natural Ingredient on Blood Pressure Randomized controlled trial with two parallel branches (experimental product and placebo), double blind and unicentric with which it is intended to evaluate the efficacy of the product under investigation against placebo on blood pressure of normotensive subjects or with hypertension grade I without Pharmacotherapy. The subjects that meet the selection criteria will make a total of five visits to the research laboratory and perform the tests that were pre-established in the protocol. Later, a statistical analysis will be carried out with the variables measured in the study to obtain results.",clinicaltrials.gov,Hypertension,23,0,1,98,trial_NCT03471533,Efficacy of a Natural Ingredient on Blood Pressure,,
trial_NCT06119152_0,"Digital Equity for Stroke Approach A community-academic partnership composed of a State University of New York (SUNY) Downstate Health Sciences University inter-disciplinary team of scientists (representing public health, medical informatics, vascular neurology stroke center) and the Digital Equity Community Advisory Board (DECA) will guide our research. This is an NIH R21 pilot study. Our Specific Aims are designed to inform the sample design and research priorities for a larger NIH R01 experimental study and to serve as a platform for similar studies with other health conditions. We propose a mixed-methods study design with the following aims: 1. Assess and build setting, community, and user fit of DESA, leveraging qualitative methods and simulation telehealth encounters between the patient and neurologist. 2. Conduct a 9-month pilot randomized control trial (RCT) of DESA in a Central Brooklyn stroke population to examine the feasibility and preliminary efficacy. We will randomize 50 adults to DESA and 30 to usual care. The primary outcome will be BP control. Secondary outcomes include the number of BP measurements and medication compliance. Our primary hypothesis is that patients randomized to the DESA will significantly reduce systolic blood pressure at 9 months. 3. Examine barriers and facilitators to the adoption and integration of DESA into routine stroke care utilizing key informant interviews and user satisfaction surveys with neurologists and intervention participants.",clinicaltrials.gov,Stroke,24,0,1,221,trial_NCT06119152,Digital Equity for Stroke Approach,,
trial_NCT00696384_0,"A Safety and Tolerability Study of Azilsartan Medoxomil in Participants With Essential Hypertension The purpose of this study is to determine the long term safety and tolerability of azilsartan medoxomil, once daily (QD), in participants with Essential Hypertension.",clinicaltrials.gov,Hypertension,25,0,1,38,trial_NCT00696384,A Safety and Tolerability Study of Azilsartan Medoxomil in Participants With Essential Hypertension,,
trial_NCT01743781_0,Uptake of Comprehensive Eye Examination Trial 1. To evaluate a educational intervention promoting acceptance of comprehensive eye examination in rural Guangdong. 2. To evaluate the impact of acceptance of comprehensive eye examination in rural Guangdong.,clinicaltrials.gov,Glaucoma,26,0,1,35,trial_NCT01743781,Uptake of Comprehensive Eye Examination Trial,,
trial_NCT02296775_0,"Comparative Pharmacokinetic, Pharmacodynamic, Safety and Efficacy Study of Three Anti-CD20 Monoclonal Antibodies in Patients With Moderate to Severe Rheumatoid Arthritis This study will compare the plasma pharmacokinetic profile and the change in disease activity score in patients with active rheumatoid arthritis following treatment with two 1000 mg doses of DRL _RI or one of two sources of rituximab (Rituxan  or MabThera ). Patients will also be monitored for safety, B cell depletion and recovery, and for the development of immune responses to the administered study drugs",clinicaltrials.gov,Rheumatoid Arthritis,27,0,1,86,trial_NCT02296775,"Comparative Pharmacokinetic, Pharmacodynamic, Safety and Efficacy Study of Three Anti-CD20 Monoclonal Antibodies in Patients With Moderate to Severe Rheumatoid Arthritis",,
trial_NCT05814471_0,"Validation of a Knee Brace for Gonarthrosis A study about the effects of different fastening systems for knee braces on comfort, ease of installation and treatment efficacy both physical and psychological. Two different systems will be tested, velcro straps and a cable-fastening system.",clinicaltrials.gov,Gonarthrosis,28,0,1,43,trial_NCT05814471,Validation of a Knee Brace for Gonarthrosis,,
trial_NCT06308887_0,"Comparison of Ultrasound-Guided Perimeniscal Steroid and 5  Dextrose Injections in Knee Osteoarthritis Introduction: The primary goal of treating knee osteoarthritis is to reduce pain and improve the patient's quality of life. Medial meniscal extrusion is a condition that is linked to pain and disability in knee osteoarthritis and can be identified through ultrasound. For patients with medial meniscal extrusion, perimeniscal corticosteroid injection has been shown to be a helpful addition to primary treatment for moderate to severe pain relief. Dextrose prolotherapy has also been found to provide periarticular benefits for knee osteoarthritis. This study aims to compare the effectiveness of ultrasound-guided perimeniscal corticosteroid and perimeniscal dextrose injections in patients with osteoarthritis, medial knee pain, and medial meniscal extrusion. Method: Patients with medial knee pain and meniscal extrusion were randomly divided into two groups using the double-block randomization method. Group 1 included 15 patients who were administered an ultrasound-guided perimeniscal steroid injection, while Group 2 included 16 patients who were administered an ultrasound-guided perimeniscal dextrose injection. The patients' pain levels were evaluated using the Visual Analog Pain Scale (VAS) and the Western Ontario and McMaster Universities Osteoarthritis Index (WOMAC) before and one week, one month, and three months after the injection.",clinicaltrials.gov,Gonarthrosis,29,0,1,200,trial_NCT06308887,Comparison of Ultrasound-Guided Perimeniscal Steroid and 5% Dextrose Injections in Knee Osteoarthritis,,
trial_NCT02706106_0,"Assessment of a Knee Brace in Patients With Osteoarthritis It is a controlled clinical trial randomized, double-blind evaluator. Will be considered eligible patients, individuals of both sexes, aged 40 -60, to submit at least four items of knee osteoarthrosis classification criteria, according to the American College of Rheumatology, pain above four points in the visual analogue scale (VAS), diagnosed with knee osteoarthritis and who sought physical therapy treatment. Patients will be randomized by a number sequence generated by a computer using Microsoft Excel (Microsoft Corporation, Redmond, Washington), in opaque envelopes by researcher who will not attend the study.Patients will be divided into two groups: group with knee patellar hole or group without knee patellar hole. Shortly after the selection of the knee, the patient will have his eyes blind or cover in order to keep it '' blind '' regarding the type of knee brace that it would use. Finally evaluator 1 will cover the knee with a black cloak, making the second evaluator ''blind '' regarding the type of knee brace that will be used. Two investigators will carry out the data collection. The first evaluator will collect information on the clinical characteristics of patients, including evaluation form, numerical pain scale, which measures the intensity of pain, test Time Up and Go (TUG) test that measures the basic mobility of movement and test walking eight meters, whose purpose is to measure the time that the individual takes to walk a distance of eight meters.",clinicaltrials.gov,Osteoarthritis,30,0,1,245,trial_NCT02706106,Assessment of a Knee Brace in Patients With Osteoarthritis,,
trial_NCT02663804_0,Total Knee Arthroplasty: Relation Between Patient Satisfaction and Implant Geometry A RCT (randomized controlled trial) comparing 3 different TKA (total knee arthroplasty) implant designs and investigating the relation between patient satisfaction and the implant geometry.,clinicaltrials.gov,Osteoarthritis,31,0,1,35,trial_NCT02663804,Total Knee Arthroplasty: Relation Between Patient Satisfaction and Implant Geometry,,
trial_NCT01269944_0,"Effects of Osteotomies Around the Knee on Cartilage Glycosaminoglycan Content Using dGEMRIC Non-invasive Imaging Medial compartment osteoarthritis of the knee is commonly treated by a surgical intervention called 'high tibial osteotomy' (VTO). Although it has repeatedly been shown that pain improves following this procedure, it is unknown how cartilage quality is affected by the procedure. In this study, a recently developed MRI technique is used to evaluate changes in cartilage quality before and after the surgery. Changes in MRI signals are correlated to subjective improvements (score lists). 10 patients participate in this study. Approval has been granted by the Medical Ethical Committee of the University Medical Center Utrecht. All participants are required to give informed consent before participation.",clinicaltrials.gov,Medial Compartment Osteoarthritis of the Knee,32,0,1,118,trial_NCT01269944,Effects of Osteotomies Around the Knee on Cartilage Glycosaminoglycan Content Using dGEMRIC Non-invasive Imaging,,
trial_NCT02640144_0,"The Influence of Hyaluronic Acid Injection Following Knee Arthroscopy This is a prospective, double blind randomized controlled trial. In this study we will investigate the influence of hyaluronic acid injection to knee after knee arthroscopy, when known or discovered cartilage damage greater than International Cartilage Research Society score (ICRS) grade 2 is found. The indication for arthroscopy is not necessarily the cartilage damage. A set of 3 consecutive injections will be administered and follow up of physical examination and questionaries will be done. Our null hypothesis is that the administration of hyaluronic acid will show decrease pain and quicker rehabilitation and return to normal activity in patients with grade 2 and higher cartilage damage that had gone through knee arthroscopy.",clinicaltrials.gov,Cartilage Damage,33,0,1,120,trial_NCT02640144,The Influence of Hyaluronic Acid Injection Following Knee Arthroscopy,,
trial_NCT04437134_0,"On-line Neuromuscular Exercise and Education for Knee Osteoarthritis Due to enforced social distancing as a direct consequence of the COVID-19 pandemic, many on-site health care services are unavailable. This study seeks to investigate the relative effectiveness of an alternative on-line delivery model of exercise and education compared to on-site delivery in patients with knee osteoarthritis.",clinicaltrials.gov,Knee Osteoarthritis,34,0,1,55,trial_NCT04437134,On-line Neuromuscular Exercise and Education for Knee Osteoarthritis,,
trial_NCT00859963_0,Regenerex Tibial Tray Multi-Center Data Collection The purpose of this prospective clinical data collection is to document the performance and clinical outcomes of the Regenerex  Tibial Tray.,clinicaltrials.gov,Pain,35,0,1,27,trial_NCT00859963,Regenerex Tibial Tray Multi-Center Data Collection,,
trial_NCT05878587_0,"Burger Allen Exercises in Knee OA With Type II Diabetes There is a potential link between diabetes mellitus (DM) and severity of osteoarthritis .Type 2 diabetes is a part of the metabolic syndrome (Mets) accompanied by ageing and mechanical stress are also a risk factor to osteoarthritis. Every anatomical component of the joint demonstrated faster joint deterioration and elevated inflammation at microcellular environment of individuals with DM. Normal chondrocytes capacity to adapt to the local glucose level is impaired by OA and there is a significant risk of glucose toxicity and increased glucose absorption. The most dependable and effective treatment for mild to early joint osteoarthritis is exercise. Active free exercises i.e. Buerger Allen exercises are used as a conservative perfusion therapy because they rely on how gravity affects the smooth muscles in the valves. Synovial fluid supports the joint's ability to recover while also reducing inflammation and enhancing overall joint function. The aim of the study is to determine the effect of Buerger Allen exercise and low intensity high repetition exercises on pain, range of motion and disability in knee osteoarthritis with type 2 diabetes. The study would be randomized controlled trial. Total thirty-six subjects will be assigned randomly by using lottery randomization into two groups. Group A will receive conventional therapy and an additional Buerger Allen exercise while Group B will be a control group receiving only baseline treatment. Numeric pain rating scale (NPRS), Ankle Brachial Index, KOOS and Goniometer will be used as outcome measure tools for pain, range of motion and disability. Measure will be taken at baseline and at the end of treatment session. The collected data will be analyzed in Statistical Package for the Social Sciences (SPSS) 25.0.If data will be normally distributed then parametric if not normally distributed than non-parametric",clinicaltrials.gov,Knee Osteoarthritis,36,0,1,297,trial_NCT05878587,Burger Allen Exercises in Knee OA With Type II Diabetes,,
trial_NCT01047657_0,Effects of Weight Loss in Obese Difficult-to-treat Asthmatics Sixty percent of patients with difficult to control asthma seen in our outpatient clinic are obese. The impact of weight reduction in this subpopulation of asthmatics has not been studied. Our aim is to evaluate the impact of weight reduction on asthma control of these patients.,clinicaltrials.gov,Asthma,37,0,1,54,trial_NCT01047657,Effects of Weight Loss in Obese Difficult-to-treat Asthmatics,,
trial_NCT00952471_0,Reduction in Clinical Variance Using Targeted Design Changes in Computerized Provider Order Entry Order (CPOE) Sets Selective redesign of order sets using different ways to frame the order and physician decision-making in a computerized provider order entry system could increase adherence to evidence-based care and reduce population-specific variance.,clinicaltrials.gov,Asthma Exacerbation,38,0,1,48,trial_NCT00952471,Reduction in Clinical Variance Using Targeted Design Changes in Computerized Provider Order Entry Order (CPOE) Sets,,
trial_NCT05935332_0,"Phase 2 Study to Evaluate RPT193 in Adults With Moderate to Severe T2-high Asthma Randomized, multi-center, double-blind, placebo-controlled, parallel group, proof of-concept study with RPT193 in subjects with T2-high, moderate-to-severe asthma who are partially controlled on medium or high doses of inhaled corticosteroids (ICS) in combination with long-acting beta 2 agonist (LABA).",clinicaltrials.gov,Asthma,39,0,1,52,trial_NCT05935332,Phase 2 Study to Evaluate RPT193 in Adults With Moderate to Severe T2-high Asthma,,
trial_NCT03545906_0,"Telemedicine Enhanced Asthma Management - Uniting Providers This research study is an innovative school-based program for urban children with moderate to severe persistent or difficult-to-control asthma. The Telemedicine Enhanced Asthma Management-Uniting Providers (TEAM-UP) program enhances a school-based, primary care directed asthma program with specialist-supported care to ensure optimal guideline based treatment. This study is a full-scale randomized trial of TEAM-UP versus an enhanced care comparison group. Primary care physicians (PCP) of all enrolled children (n 360, 4-12 yrs.) will be prompted to initiate directly observed therapy (DOT) of preventive asthma medication through school and to make a specialist referral. For children in the TEAM-UP group, the specialist visits will be facilitated via telemedicine at school. The telemedicine specialist visit will be scheduled after approximately 4 weeks of initiating DOT, in order to allow for accurate guideline-based assessments of medication and care needs once adherence with a daily controller medication is established. There will also be up to 2 telemedicine follow-up specialist visits to assess the child's response to treatment and make needed adjustments. The study will use the existing community infrastructure by implementing both telemedicine and DOT in school, and maintaining collaboration with PCPs. Blinded follow-ups will occur at 3-, 5-, 7- and 12-months after baseline, and the primary outcome is the comparison of symptom-free days (SFD) at each follow-up time point.",clinicaltrials.gov,Asthma in Children,40,0,1,222,trial_NCT03545906,Telemedicine Enhanced Asthma Management - Uniting Providers,,
trial_NCT01216384_0,"Single Rising Dose (SRD), Multiple Rising Dose (MRD) Study of BI 671800 in Healthy Asian Volunteers The primary objective of the current study is to investigate the safety and tolerability of BI 671800 HEA in healthy Chinese male volunteers following single oral administration, and healthy Japanese male volunteers following single oral administration and multiple administrations.",clinicaltrials.gov,Asthma,41,0,1,55,trial_NCT01216384,"Single Rising Dose (SRD), Multiple Rising Dose (MRD) Study of BI 671800 in Healthy Asian Volunteers",,
